epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,141.421,2.49631,0.59526,0.95257,1.40117,0.000158094,0.000158094,0.000158094
2,285.969,1.44485,0.74625,0.97787,0.75051,0.000310489,0.000310489,0.000310489
3,424.095,1.08956,0.77549,0.98261,0.64232,0.0004566,0.0004566,0.0004566
4,568.562,0.94964,0.7913,0.98735,0.54541,0.000447726,0.000447726,0.000447726
5,703.448,0.81368,0.82055,0.98972,0.4768,0.000438301,0.000438301,0.000438301
6,840.619,0.78329,0.81344,0.99209,0.51618,0.000428876,0.000428876,0.000428876
7,972.75,0.70258,0.86324,0.99289,0.38174,0.000419451,0.000419451,0.000419451
8,1107.95,0.67679,0.83557,0.99289,0.43067,0.000410026,0.000410026,0.000410026
9,1242.52,0.6023,0.86324,0.99526,0.35492,0.000400602,0.000400602,0.000400602
10,1367.64,0.59167,0.85455,0.99842,0.37263,0.000391177,0.000391177,0.000391177
11,1503.42,0.5748,0.87036,0.99684,0.32582,0.000381752,0.000381752,0.000381752
12,1622.23,0.55027,0.883,0.99684,0.32737,0.000372327,0.000372327,0.000372327
13,1737.49,0.53383,0.88617,0.99842,0.28255,0.000362902,0.000362902,0.000362902
14,1853.7,0.46828,0.917,0.99842,0.22696,0.000353478,0.000353478,0.000353478
15,2182.36,0.46324,0.89249,0.99526,0.27499,0.000344053,0.000344053,0.000344053
16,2309.38,0.46859,0.87589,0.99605,0.30684,0.000334628,0.000334628,0.000334628
17,2448.28,0.47984,0.90672,0.99763,0.24592,0.000325203,0.000325203,0.000325203
18,2577.21,0.39882,0.93043,0.99763,0.22237,0.000315778,0.000315778,0.000315778
19,2710.27,0.4043,0.91779,0.99684,0.24121,0.000306354,0.000306354,0.000306354
20,2826.58,0.42165,0.92648,0.99921,0.2066,0.000296929,0.000296929,0.000296929
21,2939.65,0.38612,0.91779,0.99921,0.22396,0.000287504,0.000287504,0.000287504
22,3054.33,0.38205,0.90988,0.99921,0.24406,0.000278079,0.000278079,0.000278079
23,3168.07,0.3596,0.93202,0.99921,0.1813,0.000268654,0.000268654,0.000268654
24,3280.67,0.35318,0.92411,0.99921,0.21104,0.00025923,0.00025923,0.00025923
25,3393,0.37002,0.92569,0.99921,0.19715,0.000249805,0.000249805,0.000249805
26,3518.66,0.32833,0.93676,0.99842,0.18481,0.00024038,0.00024038,0.00024038
27,3653.91,0.31947,0.93597,0.99921,0.19306,0.000230955,0.000230955,0.000230955
28,3787.26,0.31811,0.94466,0.99921,0.16413,0.00022153,0.00022153,0.00022153
29,3899.91,0.31527,0.9415,0.99921,0.14988,0.000212106,0.000212106,0.000212106
30,4010.89,0.29979,0.93439,0.99921,0.1743,0.000202681,0.000202681,0.000202681
31,4131.32,0.29415,0.93439,0.99921,0.17985,0.000193256,0.000193256,0.000193256
32,4259.96,0.29759,0.94783,0.99921,0.16646,0.000183831,0.000183831,0.000183831
33,4394.93,0.28191,0.9502,0.99921,0.14296,0.000174406,0.000174406,0.000174406
34,4511.42,0.28617,0.95099,0.99921,0.14324,0.000164982,0.000164982,0.000164982
35,4623.42,0.27443,0.94862,0.99921,0.14652,0.000155557,0.000155557,0.000155557
36,4743.66,0.27537,0.94071,1,0.16309,0.000146132,0.000146132,0.000146132
37,4854.89,0.2522,0.94862,1,0.14643,0.000136707,0.000136707,0.000136707
38,4965.61,0.25802,0.95178,0.99921,0.13902,0.000127282,0.000127282,0.000127282
39,5098.19,0.26091,0.95494,0.99921,0.12761,0.000117858,0.000117858,0.000117858
40,5219.25,0.24513,0.95652,1,0.12067,0.000108433,0.000108433,0.000108433
41,5350.46,0.24478,0.95415,1,0.13752,9.9008e-05,9.9008e-05,9.9008e-05
42,5484.99,0.24124,0.95336,0.99921,0.14359,8.95832e-05,8.95832e-05,8.95832e-05
43,5626.31,0.24024,0.95178,0.99921,0.1452,8.01584e-05,8.01584e-05,8.01584e-05
44,5764.97,0.24379,0.95573,0.99921,0.1268,7.07336e-05,7.07336e-05,7.07336e-05
45,5898.53,0.24184,0.95968,0.99921,0.12422,6.13088e-05,6.13088e-05,6.13088e-05
46,6027.23,0.21497,0.96285,0.99921,0.11671,5.1884e-05,5.1884e-05,5.1884e-05
47,6158.05,0.22138,0.9581,0.99921,0.12638,4.24592e-05,4.24592e-05,4.24592e-05
48,6285.13,0.22614,0.95889,0.99921,0.12532,3.30344e-05,3.30344e-05,3.30344e-05
49,6411.28,0.21493,0.95652,0.99921,0.12785,2.36096e-05,2.36096e-05,2.36096e-05
50,6535.2,0.22209,0.96126,0.99921,0.12107,1.41848e-05,1.41848e-05,1.41848e-05
