epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.8098,0.75491,0.88626,1,0.27584,0.000415162,0.000415162,0.000415162
2,62.1684,0.42768,0.88942,1,0.25252,0.000815359,0.000815359,0.000815359
3,89.3725,0.35873,0.90205,1,0.2305,0.00119906,0.00119906,0.00119906
4,116.233,0.36863,0.87994,1,0.25096,0.00117575,0.00117575,0.00117575
5,143.864,0.33417,0.77251,1,0.78455,0.001151,0.001151,0.001151
6,170.345,0.28849,0.95735,1,0.1288,0.00112625,0.00112625,0.00112625
7,202.478,0.27087,0.93681,1,0.17796,0.0011015,0.0011015,0.0011015
8,229.922,0.28214,0.94155,1,0.14542,0.00107675,0.00107675,0.00107675
9,260.669,0.24163,0.94155,1,0.14703,0.001052,0.001052,0.001052
10,287.013,0.23644,0.94629,1,0.13109,0.00102725,0.00102725,0.00102725
11,328.027,0.22668,0.95893,1,0.10721,0.0010025,0.0010025,0.0010025
12,363.803,0.22426,0.94787,1,0.13364,0.00097775,0.00097775,0.00097775
13,396.625,0.21042,0.96524,1,0.09522,0.000953,0.000953,0.000953
14,427.77,0.20166,0.94945,1,0.13351,0.00092825,0.00092825,0.00092825
15,459.813,0.17072,0.96524,1,0.0863,0.0009035,0.0009035,0.0009035
16,496.666,0.18822,0.9684,1,0.08902,0.00087875,0.00087875,0.00087875
17,530.353,0.17355,0.96367,1,0.09245,0.000854,0.000854,0.000854
18,565.342,0.16141,0.95261,1,0.11283,0.00082925,0.00082925,0.00082925
19,601.068,0.15526,0.95103,1,0.14157,0.0008045,0.0008045,0.0008045
20,640.868,0.1492,0.97156,1,0.07023,0.00077975,0.00077975,0.00077975
21,686.562,0.15076,0.95103,1,0.09866,0.000755,0.000755,0.000755
22,718.656,0.14381,0.9763,1,0.06886,0.00073025,0.00073025,0.00073025
23,753.712,0.16045,0.96682,1,0.08201,0.0007055,0.0007055,0.0007055
24,791.935,0.14306,0.96051,1,0.09251,0.00068075,0.00068075,0.00068075
25,831.534,0.14432,0.97788,1,0.06398,0.000656,0.000656,0.000656
26,862.04,0.13136,0.9684,1,0.07872,0.00063125,0.00063125,0.00063125
27,892.685,0.11799,0.96682,1,0.09295,0.0006065,0.0006065,0.0006065
28,925.484,0.13014,0.96998,1,0.07691,0.00058175,0.00058175,0.00058175
29,958.576,0.12262,0.97788,1,0.0796,0.000557,0.000557,0.000557
30,993.442,0.11639,0.96998,1,0.08218,0.00053225,0.00053225,0.00053225
31,1031.18,0.11737,0.97472,1,0.06488,0.0005075,0.0005075,0.0005075
32,1069.26,0.1161,0.9684,1,0.08277,0.00048275,0.00048275,0.00048275
33,1112.35,0.11071,0.97156,1,0.0668,0.000458,0.000458,0.000458
34,1150.74,0.10685,0.9842,1,0.05953,0.00043325,0.00043325,0.00043325
35,1189.04,0.11293,0.97314,1,0.0746,0.0004085,0.0004085,0.0004085
36,1227.83,0.10523,0.96998,1,0.07842,0.00038375,0.00038375,0.00038375
37,1261.72,0.09245,0.97788,1,0.06068,0.000359,0.000359,0.000359
38,1296.57,0.09407,0.9763,1,0.07072,0.00033425,0.00033425,0.00033425
39,1333.21,0.08679,0.97472,1,0.0612,0.0003095,0.0003095,0.0003095
40,1373.91,0.07942,0.9763,1,0.0772,0.00028475,0.00028475,0.00028475
41,1424.95,0.08636,0.97946,1,0.05384,0.00026,0.00026,0.00026
42,1463.17,0.09158,0.97946,1,0.06491,0.00023525,0.00023525,0.00023525
43,1502.24,0.07017,0.9842,1,0.04546,0.0002105,0.0002105,0.0002105
44,1537.42,0.08276,0.97788,1,0.05937,0.00018575,0.00018575,0.00018575
45,1569.9,0.07645,0.98104,1,0.053,0.000161,0.000161,0.000161
46,1611.23,0.07994,0.9842,1,0.0494,0.00013625,0.00013625,0.00013625
47,1652.76,0.07783,0.9842,1,0.04936,0.0001115,0.0001115,0.0001115
48,1694,0.07331,0.98262,1,0.04204,8.675e-05,8.675e-05,8.675e-05
49,1735.55,0.06697,0.98104,1,0.04443,6.2e-05,6.2e-05,6.2e-05
50,1775.05,0.06757,0.9842,1,0.04637,3.725e-05,3.725e-05,3.725e-05
