epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5377,1.01081,1.03725,1.16025,0.96243,0.97925,0.99074,0.8673,0.50505,0.85232,0.89086,0.000663507,0.000663507,0.000663507
2,61.0344,0.89069,0.65005,1.1167,0.99904,0.99585,0.995,0.86845,0.55442,0.45637,0.8747,0.00124238,0.00124238,0.00124238
3,90.9305,0.85605,0.58303,1.10186,0.9997,1,0.995,0.84501,0.62435,0.40911,0.91472,0.00173326,0.00173326,0.00173326
4,120.722,0.8293,0.53905,1.08627,0.99934,1,0.995,0.88081,0.54182,0.37448,0.86375,0.001604,0.001604,0.001604
5,148.568,0.79255,0.49094,1.07005,0.99963,1,0.995,0.89517,0.45055,0.31801,0.84378,0.001472,0.001472,0.001472
6,223.934,0.76434,0.45146,1.01822,0.99947,1,0.995,0.8797,0.49759,0.33558,0.87444,0.00134,0.00134,0.00134
7,250.481,0.69877,0.40772,0.98967,0.99963,1,0.995,0.88058,0.44972,0.31121,0.86509,0.001208,0.001208,0.001208
8,277.702,0.68011,0.39239,0.98153,0.99586,0.99911,0.995,0.90152,0.44592,0.3063,0.84877,0.001076,0.001076,0.001076
9,305.317,0.65354,0.37234,0.95755,0.99749,1,0.995,0.90604,0.43765,0.3089,0.8526,0.000944,0.000944,0.000944
10,333.37,0.63205,0.34107,0.95465,0.99948,1,0.995,0.90657,0.39502,0.24393,0.83843,0.000812,0.000812,0.000812
11,361.853,0.62339,0.32775,0.94484,0.99962,1,0.995,0.91674,0.38358,0.24288,0.83697,0.00068,0.00068,0.00068
12,389.544,0.58807,0.31249,0.93294,0.99975,1,0.995,0.91603,0.37287,0.2173,0.82261,0.000548,0.000548,0.000548
13,418.691,0.56967,0.29273,0.92583,0.99974,1,0.995,0.92937,0.37144,0.21174,0.82285,0.000416,0.000416,0.000416
14,447.054,0.54352,0.28502,0.91552,0.99974,1,0.995,0.93132,0.35887,0.19666,0.81901,0.000284,0.000284,0.000284
15,475.301,0.5173,0.27141,0.89799,0.99976,1,0.995,0.93345,0.33564,0.19001,0.8145,0.000152,0.000152,0.000152
